id,,parent,,ordered_children,,location,,runbyrobot,,joint,,ordered,,consecutive
at3_sanit_43,,m44,,NaN,,room44,,NaN,,False,,NaN,,NaN
m45,,NaN,,['at3_sanit_44'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_44,,m45,,NaN,,room45,,NaN,,False,,NaN,,NaN
m46,,NaN,,['at3_sanit_45'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_45,,m46,,NaN,,room46,,NaN,,False,,NaN,,NaN
m47,,NaN,,['at3_sanit_46'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_46,,m47,,NaN,,room47,,NaN,,False,,NaN,,NaN
m48,,NaN,,['at3_sanit_47'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_47,,m48,,NaN,,room48,,NaN,,False,,NaN,,NaN
m49,,NaN,,['at3_sanit_48'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_48,,m49,,NaN,,room49,,NaN,,False,,NaN,,NaN
m50,,NaN,,['at3_sanit_49'],,NaN,,NaN,,NaN,,NaN,,NaN
at3_sanit_49,,m50,,NaN,,room50,,NaN,,False,,NaN,,NaN
